image,λ=16_bpp,λ=32_bpp,λ=64_bpp,λ=128_bpp,λ=256_bpp,λ=512_bpp,λ=1024_bpp,λ=2048_bpp,λ=16_psnr,λ=32_psnr,λ=64_psnr,λ=128_psnr,λ=256_psnr,λ=512_psnr,λ=1024_psnr,λ=2048_psnr
kodim22.png,0.14366622269153595,0.26738372445106506,0.44602108001708984,0.7068493962287903,1.0491889715194702,1.4436891078948975,1.967543125152588,2.698042869567871,29.16347312927246,31.048877716064453,33.02526092529297,35.22018051147461,37.4263916015625,39.62144470214844,41.65872573852539,43.993682861328125
kodim04.png,0.09564131498336792,0.17052000761032104,0.2857723534107208,0.4554551839828491,0.7074223160743713,1.0210891962051392,1.5026191473007202,2.1158454418182373,30.445812225341797,32.27109146118164,33.91156768798828,36.15288162231445,38.147911071777344,40.297054290771484,42.45082473754883,44.623573303222656
kodim06.png,0.22459514439105988,0.37562865018844604,0.5626438856124878,0.8308795690536499,1.1542969942092896,1.5292009115219116,2.0190067291259766,2.5756428241729736,29.09813690185547,31.20671844482422,33.255958557128906,35.61163330078125,37.89371871948242,40.272308349609375,42.47156524658203,44.516998291015625
kodim05.png,0.3522886633872986,0.5470075011253357,0.7574177980422974,1.073779821395874,1.4629634618759155,1.9053711891174316,2.49564528465271,3.1895320415496826,28.456932067871094,30.4493408203125,32.94326400756836,35.15227508544922,37.44862365722656,39.75368118286133,41.85520935058594,43.889793395996094
kodim02.png,0.07607568055391312,0.14736628532409668,0.2513704001903534,0.4326455593109131,0.6944839358329773,1.031383991241455,1.5325590372085571,2.1609768867492676,30.689924240112305,32.344581604003906,33.97746658325195,35.96568298339844,38.00495910644531,40.08641815185547,42.29424285888672,44.448028564453125
kodim01.png,0.2952421307563782,0.5137783288955688,0.8145469427108765,1.207115888595581,1.6427521705627441,2.115818977355957,2.661931037902832,3.277341365814209,27.656269073486328,29.71982192993164,32.30592727661133,34.87332534790039,37.469459533691406,39.96076202392578,42.28616714477539,44.5399169921875
kodim07.png,0.12949523329734802,0.19464483857154846,0.2745189964771271,0.38838741183280945,0.5562856197357178,0.757053017616272,1.0649152994155884,1.5022754669189453,31.626890182495117,33.844329833984375,35.47468566894531,37.757164001464844,39.66119384765625,41.60911178588867,43.33451843261719,44.98093032836914
kodim16.png,0.11312004178762436,0.20442652702331543,0.3272855281829834,0.5161949992179871,0.7577430605888367,1.0536571741104126,1.457947015762329,1.9341870546340942,30.310344696044922,32.319549560546875,34.19951248168945,36.50816345214844,38.665245056152344,40.89818572998047,43.05778503417969,45.08134841918945
kodim20.png,0.08458578586578369,0.14848576486110687,0.24551795423030853,0.3928464353084564,0.5770207047462463,0.7890240550041199,1.082318663597107,1.543880820274353,31.682729721069336,33.56781005859375,35.368648529052734,37.35124969482422,39.22169494628906,40.9772834777832,42.564117431640625,44.26511764526367
kodim10.png,0.09773794561624527,0.15463712811470032,0.22534404695034027,0.34282124042510986,0.5019723176956177,0.7094193696975708,1.1149245500564575,1.8361209630966187,31.862777709960938,33.659263610839844,35.32572937011719,37.280052185058594,38.83083724975586,40.413936614990234,42.03539276123047,44.45416259765625
kodim18.png,0.27795422077178955,0.45380961894989014,0.6614366769790649,0.949144184589386,1.3176510334014893,1.7628517150878906,2.4550628662109375,3.2211549282073975,28.53020668029785,30.532915115356445,32.60136032104492,34.714359283447266,36.84416198730469,38.927940368652344,41.25071716308594,43.57600402832031
kodim14.png,0.2348409742116928,0.38792839646339417,0.5881150960922241,0.8960742950439453,1.28116774559021,1.722798228263855,2.320227861404419,2.973331928253174,28.745235443115234,30.57431983947754,32.74816131591797,34.910484313964844,37.23835372924805,39.55915069580078,41.90210723876953,44.21821212768555
kodim21.png,0.2131781429052353,0.3516821265220642,0.5155317187309265,0.737701416015625,1.0098122358322144,1.3234864473342896,1.7325128316879272,2.4446792602539062,29.544021606445312,31.7891845703125,33.82471466064453,35.91859817504883,37.8437385559082,39.915977478027344,41.71955490112305,44.09278869628906
kodim03.png,0.07622343301773071,0.12118213623762131,0.18527768552303314,0.2958024740219116,0.4401731789112091,0.6287258863449097,0.8928828239440918,1.2678146362304688,32.451351165771484,34.15816116333008,35.74352264404297,38.05204391479492,39.95265197753906,41.91034698486328,43.634151458740234,45.258949279785156
kodim15.png,0.09110251814126968,0.1622096449136734,0.26785606145858765,0.42446619272232056,0.6520206928253174,0.9362058043479919,1.3405481576919556,1.8524836301803589,30.667415618896484,32.67958450317383,34.29005813598633,36.54066848754883,38.54262924194336,40.62531280517578,42.58955001831055,44.51459884643555
kodim19.png,0.12741965055465698,0.2197132259607315,0.3690122365951538,0.6152969002723694,0.9109359979629517,1.246339201927185,1.7039543390274048,2.3666648864746094,29.8166561126709,31.377079010009766,33.485313415527344,35.92530059814453,38.03919219970703,40.08884811401367,42.01792907714844,44.25505828857422
kodim23.png,0.07051515579223633,0.10978587716817856,0.16647037863731384,0.25071877241134644,0.3683834671974182,0.5313058495521545,0.7931559681892395,1.286620020866394,32.385169982910156,34.483646392822266,35.638729095458984,38.11540603637695,39.647212982177734,41.33161163330078,42.74854278564453,44.53722381591797
kodim11.png,0.161463662981987,0.2843993604183197,0.4433179497718811,0.684827983379364,0.997460126876831,1.3744432926177979,1.8751031160354614,2.4437363147735596,29.396717071533203,31.401594161987305,33.3768196105957,35.620426177978516,37.803565979003906,40.204872131347656,42.574058532714844,44.730377197265625
kodim08.png,0.3689785897731781,0.5679544806480408,0.7851787805557251,1.1357427835464478,1.5823813676834106,2.1065292358398438,2.789907932281494,3.504521369934082,28.2825927734375,30.13087272644043,32.41139221191406,34.527862548828125,36.826778411865234,39.22850036621094,41.56591796875,43.77485275268555
kodim24.png,0.28251099586486816,0.4434114992618561,0.6384292840957642,0.9089682102203369,1.2478010654449463,1.6239609718322754,2.143314838409424,2.7805635929107666,28.859548568725586,30.931779861450195,33.21975326538086,35.359169006347656,37.55157470703125,39.630035400390625,41.51628494262695,43.42795944213867
kodim09.png,0.09674834460020065,0.15156418085098267,0.2194933444261551,0.3300844132900238,0.46469762921333313,0.6586676836013794,0.9782794117927551,1.743317723274231,32.14595031738281,33.983619689941406,35.24454879760742,37.488643646240234,38.88637161254883,40.4658317565918,41.84005355834961,44.50498580932617
kodim12.png,0.0654115080833435,0.12404724955558777,0.20754095911979675,0.3516925275325775,0.5356966853141785,0.7919909358024597,1.1704367399215698,1.6872495412826538,31.187875747680664,33.24967575073242,34.83028793334961,36.90314483642578,38.82003402709961,40.816009521484375,42.806068420410156,44.87224578857422
kodim17.png,0.12090980261564255,0.1876707375049591,0.27867215871810913,0.4212988317012787,0.6225056648254395,0.9005929827690125,1.3174771070480347,1.8949204683303833,30.985937118530273,33.01023864746094,34.78704833984375,36.75468063354492,38.55976867675781,40.54536437988281,42.40906524658203,44.455718994140625
kodim13.png,0.5072010159492493,0.8331922888755798,1.2303047180175781,1.7201340198516846,2.2657597064971924,2.825429916381836,3.4512391090393066,4.1544013023376465,26.56057357788086,28.805740356445312,31.402685165405273,33.99068069458008,36.66483688354492,39.16123580932617,41.38701629638672,43.503761291503906
